"achievement.paintQuiz.oneGame.title" : "ちょっと一息"
"achievement.paintQuiz.oneGame.goal" : "手書きクイズを1回プレイする。"
"achievement.paintQuiz.oneGame.splitted.0" : "ちょっと"

"achievement.paintQuiz.tenGame.title" : "忘却曲線ブチ曲げ"
"achievement.paintQuiz.tenGame.goal" : "手書きクイズを通算で10回プレイする。"
"achievement.paintQuiz.tenGame.flavor" : "これにはエビングハウスもにっこり。"
"achievement.paintQuiz.tenGame.splitted.1" : "ブチ"

"achievement.paintQuiz.tenHostGame.title" : "名司会"
"achievement.paintQuiz.tenHostGame.goal" : "手書きクイズを10回ホストする。"
"achievement.paintQuiz.tenHostGame.splitted.0" : "名"

"achievement.paintQuiz.badAnswer.title" : "迷回答"
"achievement.paintQuiz.badAnswer.goal" : "-1ptを獲得してしまう。"
"achievement.paintQuiz.badAnswer.flavor" : "反省していなさい！"
"achievement.paintQuiz.badAnswer.splitted.0" : "迷"

"achievement.paintQuiz.goodAnswer.title" : "腰巾着"
"achievement.paintQuiz.goodAnswer.goal" : "2ptを通算で5回獲得する。"

"achievement.paintQuiz.goodAnswer.2.title" : "ご長寿番組の顔"
"achievement.paintQuiz.goodAnswer.2.goal" : "2ptを通算で10回獲得する。"
"achievement.paintQuiz.goodAnswer.2.splitted.0" : "ご長寿"
